Date,USD (PM),Return,MA5,MA10,MA30,MA60,
9/12/16,1324.6,0,,,,,
9/13/16,1323.65,-0.000717197644572,,,,,
9/14/16,1321.75,-0.00143542477241,,,,,
9/15/16,1310.8,-0.008284471344808,,,,,
9/16/16,1308.35,-0.001869087580104,1317.83,,,,
9/19/16,1314.85,0.004968089578477,1315.88,,,,
9/20/16,1313.8,-0.000798570179108,1313.91,,,,
9/21/16,1326.1,0.009362155579236,1314.78,,,,
9/22/16,1339.1,0.009803182263781,1320.44,,,,
9/23/16,1338.65,-0.000336046598462,1326.5,1322.165,,,
9/26/16,1340.5,0.001381989317596,1331.63,1323.755,,,
9/27/16,1327,-0.010070869078702,1334.27,1324.09,,,
9/28/16,1322.5,-0.003391107761869,1333.55,1324.165,,,
9/29/16,1318.1,-0.003327032136106,1329.35,1324.895,,,
9/30/16,1322.5,0.003338138229269,1326.12,1326.31,,,
10/3/16,1313.3,-0.00695652173913,1320.68,1326.155,,,
10/4/16,1283.3,-0.02284321937105,1311.94,1323.105,,,
10/5/16,1269.4,-0.010831450167537,1301.32,1317.435,,,
10/6/16,1254.5,-0.011737828895541,1288.6,1308.975,,,
10/7/16,1258.75,0.003387803905939,1275.85,1300.985,,,
10/10/16,1259.5,0.000595829195631,1265.09,1292.885,,,
10/11/16,1253.45,-0.004803493449782,1259.12,1285.53,,,
10/12/16,1256.5,0.002433284135785,1256.54,1278.93,,,
10/13/16,1261.05,0.003621169916435,1257.85,1273.225,,,
10/14/16,1251.75,-0.007374806708695,1256.45,1266.15,,,
10/17/16,1254.8,0.002436588775714,1255.51,1260.3,,,
10/18/16,1258.2,0.002709595154606,1256.46,1257.79,,,
10/19/16,1269.05,0.00862343029725,1258.97,1257.755,,,
10/20/16,1271.65,0.002048776643946,1261.09,1259.47,,,
10/21/16,1266.05,-0.004403727440727,1263.95,1260.2,1294.45,,
10/24/16,1265.55,-0.000394929110225,1266.1,1260.805,1292.48166666667,,
10/25/16,1269.4,0.003042155584529,1268.34,1262.4,1290.67333333333,,
10/26/16,1270.5,0.000866551126516,1268.63,1263.8,1288.965,,
10/27/16,1266.25,-0.003345139708776,1267.55,1264.32,1287.48,,
10/28/16,1273,0.00533070088845,1268.94,1266.445,1286.30166666667,,
10/31/16,1272,-0.000785545954438,1270.23,1268.165,1284.87333333333,,
11/1/16,1288.45,0.012932389937107,1274.04,1271.19,1284.02833333333,,
11/2/16,1303.75,0.011874733206566,1280.69,1274.66,1283.28333333333,,
11/3/16,1301,-0.002109300095877,1287.64,1277.595,1282.01333333333,,
11/4/16,1302.8,0.001383551114527,1293.6,1281.27,1280.81833333333,,
11/7/16,1283.05,-0.015159656125269,1295.81,1283.02,1278.90333333333,,
11/8/16,1282.35,-0.000545574997077,1294.59,1284.315,1277.415,,
11/9/16,1281.4,-0.000740827387219,1290.12,1285.405,1276.045,,
11/10/16,1267.5,-0.010847510535352,1283.42,1285.53,1274.35833333333,,
11/11/16,1236.45,-0.024497041420118,1270.15,1281.875,1271.49,,
11/14/16,1213.6,-0.018480326741882,1256.26,1276.035,1268.16666666667,,
11/15/16,1226.95,0.011000329597891,1245.18,1269.885,1266.28833333333,,
11/16/16,1229.2,0.001833815558906,1234.74,1262.43,1264.94833333333,,
11/17/16,1226.75,-0.001993166287016,1226.59,1255.005,1264.02333333333,,
11/18/16,1211,-0.01283880171184,1221.5,1245.825,1262.43166666667,,
11/21/16,1214.25,0.002683732452519,1221.63,1238.945,1260.92333333333,,
11/22/16,1212.25,-0.001647107267861,1218.69,1231.935,1259.55,,
11/23/16,1185.35,-0.022190142297381,1209.92,1222.33,1257.17833333333,,
11/24/16,1186.1,0.000632724511748,1201.79,1214.19,1254.68,,
11/25/16,1187.7,0.001348958772448,1197.13,1209.315,1252.545,,
11/28/16,1187,-0.00058937442115,1191.68,1206.655,1250.285,,
11/29/16,1186.55,-0.000379106992418,1186.54,1202.615,1247.89666666667,,
11/30/16,1178.1,-0.007121486663015,1185.09,1197.505,1244.865,,
12/1/16,1161.85,-0.013793396146337,1180.24,1191.015,1241.205,,
12/2/16,1173.5,0.010027111933555,1177.4,1187.265,1238.12,1266.285,
12/5/16,1162.2,-0.009629314017895,1172.44,1182.06,1234.675,1263.57833333333,
12/6/16,1172.5,0.008862502151093,1169.63,1178.085,1231.445,1261.05916666667,
12/7/16,1177.65,0.004392324093817,1169.54,1177.315,1228.35,1258.6575,
12/8/16,1171.05,-0.005604381607439,1171.38,1175.81,1225.17666666667,1256.32833333333,
12/9/16,1163.6,-0.006361812049016,1169.4,1173.4,1221.53,1253.91583333333,
12/12/16,1156.1,-0.00644551392231,1168.18,1170.31,1217.66666666667,1251.27,
12/13/16,1158.55,0.002119193841363,1165.39,1167.51,1213.33666666667,1248.6825,
12/14/16,1162.25,0.003193647231453,1162.31,1165.925,1208.62,1245.95166666667,
12/15/16,1126.95,-0.030372123037212,1153.49,1162.435,1202.81833333333,1242.41583333333,
12/16/16,1131.6,0.004126181285771,1147.09,1158.245,1197.11166666667,1238.965,
12/19/16,1136.25,0.004109225874868,1143.12,1155.65,1192.21833333333,1235.56083333333,
12/20/16,1125.7,-0.009284928492849,1136.55,1150.97,1186.99666666667,1232.20583333333,
12/21/16,1133.65,0.007062272363862,1130.83,1146.57,1182.07166666667,1229.05833333333,
12/22/16,1131.35,-0.002028844881577,1131.71,1142.6,1177.53333333333,1225.94583333333,
12/28/16,1134.6,0.002872674238741,1132.31,1139.7,1174.13833333333,1222.81416666667,
12/29/16,1145.9,0.009959457077384,1134.24,1138.68,1171.88166666667,1220.02416666667,
1/3/17,1151,0.004450650143992,1139.3,1137.925,1169.35,1217.81916666667,
1/4/17,1164.25,0.011511728931364,1145.42,1138.125,1167.185,1216.06666666667,
